episode,reward_mean,reward_std
1,-5062.0,128.64291663360248
2,-5259.0,401.65781456359093
3,-5281.666666666667,452.48793722411347
4,-5091.366666666667,151.50710654399478
5,-5407.333333333333,165.17061885617943
6,-5322.333333333333,327.9517240895882
7,-5363.0,495.7025317667845
8,-5381.333333333333,98.19029144132998
9,-4962.0,440.364621648924
10,-5504.2,355.98275239117976
11,-5208.666666666667,166.85722439658815
12,-5538.666666666667,380.15435461577107
13,-5142.666666666667,468.02385979064485
14,-5186.0,226.19239598182781
15,-5621.0,597.2947346160017
16,-5179.0,284.1900772370492
17,-5424.2,451.09391483370734
18,-5200.333333333333,590.7489596548888
19,-5063.466666666667,396.38002388280523
20,-5430.0,301.1428232583337
21,-5291.0,253.0395226046714
22,-5214.0,302.87125977880436
23,-5465.666666666667,43.981056528161396
24,-5035.0,227.74547196376923
25,-5431.266666666666,325.59271081111945
26,-5310.033333333334,425.9028097269768
27,-5512.733333333334,333.3040853835029
28,-5515.666666666667,146.5617048663576
29,-5312.333333333333,194.70062489199512
30,-5438.666666666667,496.2825136284105
31,-5077.0,354.1525095209689
32,-5698.0,399.6961345822599
33,-5445.266666666666,413.0743435912395
34,-5132.0,403.691714059132
35,-5939.7,139.63513168253866
36,-5436.666666666667,171.01559383089406
37,-5051.333333333333,230.69966045344174
38,-5071.2,232.1984496072268
39,-5093.0,264.95848731452253
40,-5371.333333333333,322.1324779238092
41,-5315.0,182.12083900531536
42,-5219.333333333333,591.6834739396844
43,-5542.133333333334,518.4919028618799
44,-5118.0,649.5837128500067
45,-5314.333333333333,456.09355765383646
46,-5285.0,357.1442285687954
47,-5105.0,154.50566332662373
48,-5115.366666666667,385.05155931814284
49,-5300.333333333333,715.1925148750744
50,-4858.0,113.21219015636082
51,-5340.133333333333,644.6318742765774
52,-5153.0,360.77555349552165
53,-5318.666666666667,485.2147290976784
54,-5418.933333333333,549.0052944492734
55,-5277.0,787.0127063777306
56,-5209.133333333333,245.4038576170581
57,-5345.633333333333,254.43742518217198
58,-5342.333333333333,75.26840860104136
59,-5528.333333333333,113.86980869981895
60,-5583.333333333333,501.68648908788987
61,-4965.333333333333,275.6670697296529
62,-5194.0,264.6355985123695
63,-5197.0,354.6702694052604
64,-4698.333333333333,233.5815346583143
65,-5437.333333333333,265.01572280401274
66,-5468.666666666667,387.2109674755266
67,-5140.333333333333,89.801633244242
68,-5053.0,534.7363836508603
69,-5460.0,383.2505707758307
70,-5456.7,532.4852767917627
71,-5382.333333333333,586.4608540502369
72,-4867.466666666666,479.8789986375037
73,-5310.0,219.1323800810825
74,-5501.0,186.2283544468994
75,-5135.333333333333,364.81547847279353
76,-5491.333333333333,152.42156452855792
77,-5296.0,152.56146302392358
78,-5420.333333333333,169.14293758041853
79,-4647.666666666667,257.79901732421956
80,-5467.0,490.235657617844
81,-5564.333333333333,226.01179910202342
82,-5334.0,111.73182178770737
83,-5315.3,350.25700564014454
84,-5465.533333333333,77.27388519631535
85,-4900.333333333333,230.7928363995152
86,-4801.0,225.58147087028226
87,-5248.633333333333,297.0643084137397
88,-5226.666666666667,295.57458167666124
89,-5521.666666666667,176.39822372499486
90,-5280.666666666667,162.80458633998398
91,-5408.666666666667,135.9019254217295
92,-5394.666666666667,167.42859174386342
93,-5384.666666666667,435.9843269354226
94,-5224.466666666666,476.79204411706957
95,-5473.333333333333,254.22496599140945
96,-5132.733333333334,247.2416092273577
97,-5205.666666666667,366.0496323360172
98,-4709.666666666667,173.7536570358545
99,-5228.666666666667,161.71683070519705
100,-5028.333333333333,362.5801060915136
101,-5416.666666666667,119.94304203801623
102,-5479.333333333333,502.59758588092467
103,-5056.666666666667,117.24049357339538
104,-4889.333333333333,331.36435133148115
105,-5418.333333333333,377.64312959900815
106,-5217.333333333333,95.86622623913652
107,-5220.333333333333,450.0514785369928
108,-5557.833333333333,508.35133847894355
109,-5136.333333333333,339.4500454166022
110,-5155.599999999999,236.37793890293617
