episode,total_reward,epsilon
1,-5125.781608693224,0.995
2,-5023.0,0.990025
3,-5577.805555429526,0.985074875
4,-5066.225877593408,0.9801495006250001
5,-5403.460986068125,0.9752487531218751
6,-5105.0,0.9703725093562657
7,-5144.499999687171,0.9655206468094844
8,-5293.0,0.960693043575437
9,-5106.0,0.9558895783575597
10,-5155.0,0.9511101304657719
11,-4886.772727000906,0.946354579813443
12,-5496.0,0.9416228069143757
13,-5374.9999998497315,0.9369146928798039
14,-5150.0,0.9322301194154049
15,-4747.0,0.9275689688183278
16,-5530.372201478391,0.9229311239742362
17,-5061.411683011357,0.918316468354365
18,-5146.0,0.9137248860125932
19,-5137.0,0.9091562615825302
20,-4990.0,0.9046104802746175
21,-5215.0,0.9000874278732445
22,-5549.0,0.8955869907338783
23,-6278.013839463223,0.8911090557802088
24,-5446.49999995283,0.8866535105013078
25,-4955.013505889063,0.8822202429488013
26,-5389.651474043131,0.8778091417340573
27,-5006.999999867647,0.8734200960253871
28,-5951.499999848426,0.8690529955452602
29,-4985.999999802025,0.8647077305675338
30,-5168.338227885942,0.8603841919146962
31,-5880.0,0.8560822709551227
32,-5361.6,0.851801859600347
33,-5201.39999996124,0.8475428503023453
34,-5281.213621109383,0.8433051360508336
35,-5341.838656607517,0.8390886103705794
36,-5099.195121705316,0.8348931673187264
37,-5772.049549401309,0.8307187014821328
38,-5132.499999825576,0.8265651079747222
39,-5826.784482587003,0.8224322824348486
40,-5207.0,0.8183201210226743
41,-5645.591736997161,0.8142285204175609
42,-4820.0,0.810157377815473
43,-5532.044935689663,0.8061065909263957
44,-6097.0,0.8020760579717637
45,-5282.0,0.798065677681905
46,-4900.0,0.7940753492934954
47,-5148.499999913793,0.7901049725470279
48,-5705.319526279005,0.7861544476842928
49,-4724.0,0.7822236754458713
50,-5505.096618981773,0.778312557068642
51,-5295.0,0.7744209942832988
52,-4786.0,0.7705488893118823
53,-6097.565217196674,0.7666961448653229
54,-5896.499999768599,0.7628626641409962
55,-5637.642857073198,0.7590483508202912
56,-5648.768918873336,0.7552531090661897
57,-5904.694979780061,0.7514768435208588
58,-4658.0,0.7477194593032545
59,-5045.9999998329595,0.7439808620067382
60,-5532.4999999637685,0.7402609576967045
61,-5680.778760855075,0.736559652908221
62,-4906.0,0.7328768546436799
63,-5400.239583091965,0.7292124703704616
64,-5404.0,0.7255664080186093
65,-5925.0,0.7219385759785162
66,-5778.0,0.7183288830986236
67,-5154.0,0.7147372386831305
68,-5013.0,0.7111635524897149
69,-4897.0,0.7076077347272662
70,-5157.0,0.7040696960536299
71,-6127.0,0.7005493475733617
72,-5398.0,0.697046600835495
73,-5708.749999777749,0.6935613678313175
74,-5125.547474539762,0.6900935609921609
75,-4885.499999831841,0.6866430931872001
76,-5531.291593001037,0.6832098777212641
77,-4890.0,0.6797938283326578
78,-5775.299999942012,0.6763948591909945
79,-4955.083333039936,0.6730128848950395
80,-5205.0,0.6696478204705644
81,-4464.0,0.6662995813682115
82,-5564.537036800741,0.6629680834613705
83,-5992.999999806948,0.6596532430440636
84,-5653.613728143078,0.6563549768288433
85,-5753.274276604803,0.653073201944699
86,-5154.423423347127,0.6498078359349755
87,-5528.099999854338,0.6465587967553006
88,-5576.0,0.6433260027715241
89,-4913.722042785165,0.6401093727576664
90,-5407.711339970119,0.6369088258938781
91,-5486.999999342546,0.6337242817644086
92,-4808.499999816334,0.6305556603555866
93,-5166.030968025874,0.6274028820538087
94,-5128.0,0.6242658676435396
95,-5674.499999881151,0.6211445383053219
96,-5234.0,0.6180388156137953
97,-5318.660944041864,0.6149486215357263
98,-5514.422799234551,0.6118738784280476
99,-5164.0,0.6088145090359074
100,-5693.499999824792,0.6057704364907278
101,-5721.49999986573,0.6027415843082742
102,-5067.6,0.5997278763867329
103,-4794.902996220181,0.5967292370047992
104,-5136.0,0.5937455908197752
105,-5479.551022387965,0.5907768628656763
106,-5380.0,0.5878229785513479
107,-5946.0,0.5848838636585911
108,-5444.0,0.5819594443402982
109,-5862.499999746187,0.5790496471185967
110,-5078.291666487847,0.5761543988830038
111,-5229.639713313392,0.5732736268885887
112,-6070.999999699354,0.5704072587541458
113,-5154.499999837219,0.567555222460375
114,-4427.886324572256,0.5647174463480732
115,-5502.0,0.5618938591163328
116,-5329.834436913391,0.5590843898207511
117,-6013.256521525842,0.5562889678716474
118,-6188.448845890103,0.5535075230322891
119,-5328.0,0.5507399854171277
120,-4949.499999838623,0.547986285490042
121,-4856.0,0.5452463540625918
122,-4962.0,0.5425201222922789
123,-5273.418304655,0.5398075216808175
124,-5938.499999861335,0.5371084840724134
125,-5325.499999741794,0.5344229416520513
126,-5168.159241057036,0.531750826943791
127,-5203.2,0.5290920728090721
128,-4844.0,0.5264466124450268
129,-5554.783847779396,0.5238143793828016
130,-5147.719100975954,0.5211953074858876
131,-5628.0,0.5185893309484582
132,-5612.617819122075,0.5159963842937159
133,-5846.0,0.5134164023722473
134,-5566.499999838103,0.510849320360386
135,-5576.49999973556,0.5082950737585841
136,-6213.191511959836,0.5057535983897912
137,-4839.999999680158,0.5032248303978422
138,-4964.0,0.500708706245853
139,-4914.25091544858,0.4982051627146237
140,-5349.836601100578,0.49571413690105054
141,-4674.615712767251,0.4932355662165453
142,-4811.999999928514,0.4907693883854626
143,-5428.442863689524,0.4883155414435353
144,-5984.428715189679,0.4858739637363176
145,-4763.225274338158,0.483444593917636
146,-5389.0,0.4810273709480478
147,-4953.809270151446,0.47862223409330756
148,-5141.0,0.47622912292284103
149,-5099.67532447333,0.4738479773082268
150,-5720.0,0.47147873742168567
