episode,total_reward,epsilon
151,-5030.0454543567885,0.46912134373457726
152,-5016.296747659952,0.46677573701590436
153,-5743.0,0.46444185833082485
154,-5261.103174421176,0.46211964903917074
155,-4604.999999751568,0.4598090507939749
156,-5157.439306716196,0.457510005540005
157,-5456.0,0.45522245551230495
158,-5104.0,0.4529463432347434
159,-5742.906199030682,0.4506816115185697
160,-5713.589038335668,0.4484282034609769
161,-6040.215308681495,0.446186062443672
162,-6106.206543709548,0.4439551321314536
163,-5901.257127847052,0.4417353564707963
164,-5480.6877644997385,0.43952667968844233
165,-5743.239987949706,0.43732904629000013
166,-5183.328766755654,0.4351424010585501
167,-5449.0,0.43296668905325736
168,-5219.82394346703,0.43080185560799106
169,-4762.499999620854,0.4286478463299511
170,-4614.0,0.42650460709830135
171,-5442.458257054738,0.42437208406280985
172,-5128.711674485187,0.4222502236424958
173,-4994.0,0.42013897252428334
174,-5019.0,0.4180382776616619
175,-4493.133402979802,0.4159480862733536
176,-4778.744897873453,0.41386834584198684
177,-5505.0,0.4117990041127769
178,-4387.0,0.40974000909221303
179,-5111.742267743481,0.40769130904675194
180,-5627.9999998909825,0.40565285250151817
181,-5050.257281421491,0.4036245882390106
182,-4902.612402871251,0.4016064652978155
183,-5375.0,0.3995984329713264
184,-6299.0,0.3976004408064698
185,-5380.9999999098445,0.39561243860243744
186,-5569.0,0.3936343764094253
187,-5072.0,0.39166620452737816
188,-5636.499999741331,0.3897078735047413
189,-5446.999999905125,0.3877593341372176
190,-5052.499999949495,0.3858205374665315
191,-4749.0,0.38389143477919885
192,-5645.999999954545,0.3819719776053028
193,-5470.0,0.3800621177172763
194,-5701.341107154908,0.37816180712868996
195,-5535.0,0.37627099809304654
196,-5179.0,0.3743896431025813
197,-5225.0,0.37251769488706843
198,-4992.499999603642,0.3706551064126331
199,-5348.0,0.36880183088056995
200,-4697.023697370786,0.3669578217261671
