service_level,total_cost,scri_viol,VaR95,TVaR95,method,seed,episode,s,S
0.019201228878648235,4820.0,2,1365.8,1403.0,"sS(s=0,S=15)",42,4,0.0,15.0
0.016644474034620507,5620.0,5,1368.6,1379.0,"sS(s=0,S=15)",42,5,0.0,15.0
0.019440124416796267,4786.0,2,1307.0,1325.0,"sS(s=0,S=15)",42,6,0.0,15.0
0.01812250815512867,5155.0,1,1297.3999999999999,1327.0,"sS(s=0,S=15)",42,7,0.0,15.0
0.018288222384784197,5125.0,3,1554.8,1589.0,"sS(s=0,S=15)",42,8,0.0,15.0
0.01697792869269949,5482.0,0,1428.2,1441.0,"sS(s=0,S=15)",42,9,0.0,15.0
0.017946877243359655,5149.0,5,1276.2,1293.0,"sS(s=0,S=15)",42,10,0.0,15.0
0.0186219739292365,4962.0,0,1443.8,1487.0,"sS(s=0,S=15)",42,11,0.0,15.0
0.017537706068046298,5234.0,0,1572.2,1609.0,"sS(s=0,S=15)",42,12,0.0,15.0
0.01815541031227306,5195.0,3,1347.8,1363.0,"sS(s=0,S=15)",42,13,0.0,15.0
0.0191131498470948,4914.0,6,1334.6,1343.0,"sS(s=0,S=15)",42,14,0.0,15.0
0.017806267806267807,5223.0,4,1459.8,1474.0,"sS(s=0,S=15)",42,15,0.0,15.0
0.01868460388639761,4969.0,0,1446.0,1465.0,"sS(s=0,S=15)",42,16,0.0,15.0
0.017605633802816902,5332.0,3,1457.0,1498.0,"sS(s=0,S=15)",42,17,0.0,15.0
0.017959770114942528,5225.0,3,1390.3999999999999,1430.0,"sS(s=0,S=15)",42,18,0.0,15.0
0.019157088122605363,4797.0,5,1281.8,1323.0,"sS(s=0,S=15)",42,19,0.0,15.0
0.01789549033643522,5215.0,1,1489.6,1531.0,"sS(s=0,S=15)",42,20,0.0,15.0
0.026971662683509732,5472.9,5,1508.14,1525.0,"sS(s=0,S=15)",42,21,0.0,15.0
0.01584786053882726,5937.0,1,1642.8,1699.0,"sS(s=0,S=15)",42,22,0.0,15.0
0.017580872011251757,5400.0,3,1437.4,1447.0,"sS(s=0,S=15)",42,23,0.0,15.0
0.017869907076483203,5178.0,1,1351.4,1379.0,"sS(s=0,S=15)",42,24,0.0,15.0
0.01751927119831815,5270.0,0,1433.0,1477.0,"sS(s=0,S=15)",42,25,0.0,15.0
0.01868460388639761,5089.0,8,1354.6,1371.0,"sS(s=0,S=15)",42,26,0.0,15.0
0.016377333770062234,5788.0,6,1681.8,1699.0,"sS(s=0,S=15)",42,27,0.0,15.0
0.019425019425019424,4710.0,0,1366.6,1435.0,"sS(s=0,S=15)",42,28,0.0,15.0
0.018109380659181457,5024.0,0,1612.1999999999998,1753.0,"sS(s=0,S=15)",42,29,0.0,15.0
0.01781895937277263,5174.0,0,1325.8,1341.0,"sS(s=0,S=15)",42,30,0.0,15.0
0.016943409013893594,5524.0,0,1456.6,1483.0,"sS(s=0,S=15)",42,31,0.0,15.0
0.028133903133903133,5212.2,0,1295.4,1299.0,"sS(s=0,S=15)",42,32,0.0,15.0
0.018763796909492272,5051.0,2,1403.02,1431.0,"sS(s=0,S=15)",42,33,0.0,15.0
0.024971187091817133,4924.5,6,1484.0,1589.0,"sS(s=0,S=15)",42,34,0.0,15.0
0.019402405898331393,4746.0,0,1244.2,1275.0,"sS(s=0,S=15)",42,35,0.0,15.0
0.01701258931609391,5455.0,2,1456.6,1478.0,"sS(s=0,S=15)",42,36,0.0,15.0
0.017946877243359655,5204.0,4,1444.0,1454.0,"sS(s=0,S=15)",42,37,0.0,15.0
0.017397355601948505,5340.0,0,1559.8,1629.0,"sS(s=0,S=15)",42,38,0.0,15.0
0.020374898125509373,4585.0,3,1324.6,1337.0,"sS(s=0,S=15)",42,39,0.0,15.0
0.019171779141104295,4868.0,2,1377.8,1387.0,"sS(s=0,S=15)",42,40,0.0,15.0
0.017761989342806393,5192.0,0,1311.4,1333.0,"sS(s=0,S=15)",42,41,0.0,15.0
0.01701258931609391,5520.0,2,1593.0,1657.0,"sS(s=0,S=15)",42,42,0.0,15.0
0.02031694433157253,4589.0,1,1067.8,1068.0,"sS(s=0,S=15)",42,43,0.0,15.0
0.017513134851138354,5272.0,0,1307.0,1315.0,"sS(s=0,S=15)",42,44,0.0,15.0
0.018975332068311195,4862.0,0,1259.8,1279.0,"sS(s=0,S=15)",42,45,0.0,15.0
0.01656726308813784,5628.0,0,1653.8,1741.0,"sS(s=0,S=15)",42,46,0.0,15.0
0.01768033946251768,5343.0,1,1457.6,1477.0,"sS(s=0,S=15)",42,47,0.0,15.0
0.0196078431372549,4632.0,0,1144.6,1145.0,"sS(s=0,S=15)",42,48,0.0,15.0
0.017998560115190784,5353.0,9,1403.6,1404.0,"sS(s=0,S=15)",42,49,0.0,15.0
0.018975332068311195,4867.0,6,1217.8,1232.0,"sS(s=0,S=20)",42,0,0.0,20.0
0.018201674554058973,4941.0,0,1282.8,1298.0,"sS(s=0,S=20)",42,1,0.0,20.0
0.017391304347826087,5282.0,2,1498.0,1555.0,"sS(s=0,S=20)",42,2,0.0,20.0
0.018511662347278787,4929.0,0,1347.6,1378.0,"sS(s=0,S=20)",42,3,0.0,20.0
0.019201228878648235,4705.0,2,1332.8,1368.0,"sS(s=0,S=20)",42,4,0.0,20.0
0.016977363515312916,5515.1,5,1326.08,1334.1,"sS(s=0,S=20)",42,5,0.0,20.0
0.02177293934681182,4661.6,2,1270.0,1290.0,"sS(s=0,S=20)",42,6,0.0,20.0
0.01812250815512867,5060.0,1,1270.3999999999999,1302.0,"sS(s=0,S=20)",42,7,0.0,20.0
0.018288222384784197,5020.0,3,1515.8,1544.0,"sS(s=0,S=20)",42,8,0.0,20.0
0.01697792869269949,5377.0,0,1379.2,1386.0,"sS(s=0,S=20)",42,9,0.0,20.0
0.020459440057430008,5024.7,4,1240.2,1248.0,"sS(s=0,S=20)",42,10,0.0,20.0
0.0186219739292365,4857.0,0,1410.8,1452.0,"sS(s=0,S=20)",42,11,0.0,20.0
0.017537706068046298,5109.0,0,1551.2,1594.0,"sS(s=0,S=20)",42,12,0.0,20.0
0.01924473493100944,5080.3,3,1318.86,1338.0,"sS(s=0,S=20)",42,13,0.0,20.0
0.0191131498470948,4809.0,6,1287.6,1298.0,"sS(s=0,S=20)",42,14,0.0,20.0
0.017806267806267807,5088.0,3,1404.8,1409.0,"sS(s=0,S=20)",42,15,0.0,20.0
0.01868460388639761,4854.0,0,1419.0,1440.0,"sS(s=0,S=20)",42,16,0.0,20.0
0.017605633802816902,5227.0,3,1412.0,1453.0,"sS(s=0,S=20)",42,17,0.0,20.0
0.017959770114942528,5120.0,3,1369.3999999999999,1415.0,"sS(s=0,S=20)",42,18,0.0,20.0
