seed,episode,total_reward,epsilon,return_ma50,wall_clock_s
0,1,-5150.144473925229,1.0,-5150.144473925229,0.05621930000052089
0,2,-5355.332469980402,0.997625,-5252.738471952815,0.125616599994828
0,3,-5119.0,0.99525,-5208.158981301877,0.1727614999981597
0,4,-5129.049620208805,0.992875,-5188.381641028609,0.225174799998058
0,5,-5568.0,0.9905,-5264.305312822888,0.2698945000011008
0,6,-4947.499999852793,0.988125,-5211.504427327872,0.31568509999488015
0,7,-5043.0,0.98575,-5187.432366281033,0.3633875999948941
0,8,-5338.99999966695,0.983375,-5206.378320454272,0.4075669999947422
0,9,-4503.0,0.981,-5128.225173737131,0.4545180999994045
0,10,-5346.179999828151,0.978625,-5150.0206563462325,0.5007360999952652
0,11,-5293.318514630114,0.97625,-5163.04773437204,0.552020299997821
0,12,-5962.853034597734,0.973875,-5229.6981760575145,0.5983281000007992
0,13,-4817.0,0.9715,-5197.952162514629,0.6498146999947494
0,14,-5168.276806332665,0.969125,-5195.832494215917,0.6953164000005927
0,15,-5784.193877202643,0.96675,-5235.056586415032,0.7434882999950787
0,16,-5460.925372672867,0.964375,-5249.173385556147,0.788427599996794
0,17,-5865.6,0.962,-5285.43377464108,0.8374723000015365
0,18,-5168.389030811432,0.959625,-5278.931288872766,0.925712600001134
0,19,-5351.0,0.95725,-5282.724378932095,1.0088591999956407
0,20,-5364.662921062597,0.954875,-5286.82130603862,1.0600084999969113
0,21,-5032.554687254771,0.9525,-5274.713371810817,1.1126389999990351
0,22,-4866.24683524261,0.950125,-5256.146711057717,1.1589323000007425
0,23,-5415.0,0.94775,-5263.053375794338,1.2058589000007487
0,24,-4969.487360907643,0.945375,-5250.821458507392,1.265273699995305
0,25,-5231.875729609155,0.9430000000000001,-5250.0636293514635,1.3137327000004007
0,26,-5456.056097765714,0.940625,-5257.986416598165,1.359289699998044
0,27,-5910.27081276788,0.93825,-5282.145097937784,1.4119310999958543
0,28,-5537.645571974199,0.935875,-5291.270114867656,1.4612358000013046
0,29,-5234.0,0.9335,-5289.295283320495,1.5086813000016264
0,30,-5938.783279619582,0.931125,-5310.944883197132,1.5545519000006607
0,31,-5273.223211101084,0.92875,-5309.728055065001,1.5997111999968183
0,32,-6022.84126966664,0.926375,-5332.012843021303,1.6445993000015733
0,33,-5817.52290432121,0.924,-5346.7252691213,1.6896085999978823
0,34,-4773.0,0.921625,-5329.850996500085,1.8564480999993975
0,35,-6075.99999989984,0.91925,-5351.169539454364,2.029096099999151
0,36,-5267.999999921803,0.916875,-5348.859274467348,2.2050681999971857
0,37,-4870.0,0.9145,-5335.917131914177,2.3794650999989244
0,38,-5242.338709554831,0.912125,-5333.454541852089,2.555093199996918
0,39,-5119.0,0.9097500000000001,-5327.955707445625,2.7308550999950967
0,40,-5383.43902416998,0.907375,-5329.342790363733,2.8986579999982496
0,41,-5494.961059828746,0.905,-5333.382260350685,3.072051700000884
0,42,-5498.013888636767,0.902625,-5337.302061024164,3.251346899996861
0,43,-5116.0,0.90025,-5332.155501465462,3.413684099999955
0,44,-4994.999999837247,0.897875,-5324.492876428457,3.5783374999955413
0,45,-4854.4999998269595,0.8955,-5314.048590281757,3.746642799997062
0,46,-5452.354558340445,0.893125,-5317.0552417612935,3.9245900999958394
0,47,-4938.849623775521,0.89075,-5309.008313719043,4.090539299999364
0,48,-5557.0,0.888375,-5314.17480718323,4.257397900000797
0,49,-5201.0,0.886,-5311.865117240715,4.422201000001223
0,50,-4771.0,0.883625,-5301.047814895901,4.594716499996139
0,51,-5897.4,0.88125,-5315.992925417397,4.757936099995277
0,52,-5569.099061665912,0.878875,-5320.268257251106,4.929186800000025
0,53,-5815.229658281904,0.8765000000000001,-5334.192850416745,5.108680400000594
0,54,-5378.208310183434,0.874125,-5339.176024216236,5.2728057999993325
0,55,-4388.0,0.87175,-5315.576024216237,5.446701100001519
0,56,-4952.598216210147,0.869375,-5315.677988543383,5.620748599998478
0,57,-5241.863767861776,0.867,-5319.6552639006195,5.792016200000944
0,58,-5422.555555374556,0.864625,-5321.326375014772,5.970075599994743
0,59,-5442.939739596197,0.86225,-5340.125169806695,6.136413899999752
0,60,-5525.511487960395,0.859875,-5343.71179956934,6.30687229999603
0,61,-4785.999999882828,0.8575,-5333.565429274396,6.471540200000163
0,62,-5126.0,0.855125,-5316.828368582439,6.644059899997956
0,63,-5493.0,0.85275,-5330.348368582439,6.811088199996448
0,64,-4924.0,0.850375,-5325.462832455786,6.972506199999771
0,65,-5164.722011119529,0.848,-5313.073395134124,7.124394599995867
0,66,-5067.0,0.8456250000000001,-5305.194887680667,7.304510399997525
0,67,-5052.8,0.84325,-5288.938887680666,7.48963989999902
0,68,-5639.46453886362,0.840875,-5298.36039784171,7.659795200001099
0,69,-5851.0,0.8385,-5308.36039784171,7.836017399997218
0,70,-5104.63562708071,0.836125,-5303.159851962073,7.9998087999993
0,71,-4868.0,0.83375,-5299.868758216978,8.17250729999796
0,72,-4353.0,0.831375,-5289.603821512125,8.344216799996502
0,73,-5275.420909346265,0.829,-5286.81223969905,8.517556499995408
0,74,-5723.690513987458,0.8266249999999999,-5301.896302760646,8.676637299999129
0,75,-5554.669516595729,0.82425,-5308.352178500379,8.859960399997362
0,76,-5312.484042252856,0.821875,-5305.480737390121,9.035288499995659
0,77,-5126.0,0.8195,-5289.795321134764,9.195118099996762
0,78,-5522.256439888522,0.817125,-5289.48753849305,9.360899999999674
0,79,-4481.0,0.81475,-5274.42753849305,9.537192299998424
0,80,-4897.0,0.8123750000000001,-5253.591872900658,9.712012099997082
0,81,-5466.317375703512,0.81,-5257.453756192707,9.889601399998355
0,82,-5407.124277331455,0.807625,-5245.139416346003,10.058888599996862
0,83,-5583.0,0.80525,-5240.448958259579,10.233240399997158
0,84,-5537.0,0.802875,-5255.728958259579,10.402857799999765
0,85,-4707.0,0.8005,-5228.348958261582,10.576885199996468
0,86,-4974.0,0.798125,-5222.468958263145,10.73772839999583
0,87,-5020.5212120221,0.79575,-5225.479382503588,10.912585499994748
0,88,-4908.675866233574,0.7933749999999999,-5218.806125637163,11.086983499997586
0,89,-5718.0,0.791,-5230.786125637163,11.27269079999678
0,90,-5132.0,0.788625,-5225.757345153764,11.449466799997026
0,91,-5258.0,0.78625,-5221.018123957188,11.616483899997547
0,92,-5192.996775567403,0.783875,-5214.917781695802,11.778080299998692
0,93,-5696.0,0.7815,-5226.517781695801,11.959213499998441
0,94,-4690.399999901191,0.7791250000000001,-5220.425781697079,12.116096999998263
0,95,-5428.0,0.77675,-5231.895781700541,12.287754500001029
0,96,-5256.091836584455,0.774375,-5227.970527265421,12.461243400000967
0,97,-5532.0,0.772,-5239.833534789911,12.633207799997763
0,98,-4596.657299585977,0.769625,-5220.62668078163,12.804899399998249
0,99,-5210.061629727485,0.76725,-5220.80791337618,12.975956299997051
0,100,-5440.0,0.764875,-5234.1879133761795,13.12424800000008
0,101,-5532.830807649722,0.7625,-5226.896529529175,13.3001734999998
0,102,-5337.997904582113,0.760125,-5222.274506387498,13.44898010000179
0,103,-5137.058823393552,0.75775,-5208.711089689731,13.608795599997393
0,104,-4991.999999920673,0.755375,-5200.9869234844755,13.78026459999819
0,105,-5846.955302477254,0.753,-5230.166029534021,13.926655299997947
0,106,-5213.0,0.750625,-5235.374065209818,14.068660299999465
0,107,-4936.0,0.7482500000000001,-5229.256789852582,14.227878300000157
0,108,-5772.0,0.7458750000000001,-5236.245678745091,14.395272199995816
0,109,-5523.077414237128,0.7435,-5237.848432237911,14.560486199996376
0,110,-5299.835561916588,0.741125,-5233.3349137170335,14.73621650000132
0,111,-5339.137676367619,0.73875,-5244.39766724673,14.910746900000959
0,112,-5171.571428390421,0.736375,-5245.309095814538,15.065879299996595
0,113,-4691.0,0.734,-5229.269095814539,15.241015100000368
0,114,-5854.999999881088,0.731625,-5247.88909581216,15.417691399998148
0,115,-4370.0,0.72925,-5231.9946555897695,15.591798099994776
0,116,-5450.609840549432,0.726875,-5239.666852400758,15.761668799998006
0,117,-5636.6674972351875,0.7245,-5251.344202345462,15.934745099999418
0,118,-5572.0,0.722125,-5249.994911568189,16.10799810000026
0,119,-5627.764150857801,0.71975,-5245.530194585345,16.326068399997894
0,120,-5616.534883511382,0.7173750000000001,-5255.768179713959,16.496175799999037
0,121,-5073.32656226615,0.7150000000000001,-5259.874710959282,16.673925499999314
0,122,-4285.0,0.7126250000000001,-5258.514710959283,16.861619899995276
0,123,-5413.468304229226,0.71025,-5261.275658856941,17.036091999994824
0,124,-5122.999999850495,0.707875,-5249.261848574201,17.200413400001707
0,125,-5422.0,0.7055,-5246.608458242287,17.3705426000015
0,126,-5162.659348523062,0.703125,-5243.611964367691,17.526475099999516
0,127,-5344.7,0.70075,-5247.985964367691,17.68427339999471
0,128,-4854.999999652276,0.698375,-5234.6408355629665,17.848337499999616
0,129,-5627.499999952381,0.696,-5257.5708355620145,18.012574699998368
0,130,-4863.999999854512,0.6936249999999999,-5256.910835559105,18.18448630000057
0,131,-4840.661016730979,0.69125,-5244.397708379653,18.36305519999587
0,132,-4800.0,0.688875,-5232.255222833024,18.540386799999396
0,133,-4864.5169522699,0.6865,-5217.885561878423,18.716336400000728
0,134,-5742.0,0.684125,-5221.985561878423,18.878920499999367
0,135,-6222.752177614962,0.6817500000000001,-5252.300605430722,19.04870590000064
0,136,-5221.0,0.6793750000000001,-5257.240605430722,19.22334669999691
0,137,-5089.9,0.677,-5258.62818119028,19.391951400000835
