seed,episode,total_reward,epsilon,return_ma50,wall_clock_s
2,1,-5126.49999986486,1.0,-5126.49999986486,0.058426499999768566
2,2,-4819.0,0.997625,-4972.74999993243,0.10328190000291215
2,3,-5793.0,0.99525,-5246.16666662162,0.15104640000208747
2,4,-5233.428766904093,0.992875,-5242.982191692238,0.19476620000205003
2,5,-5241.751772567728,0.9905,-5242.736107867337,0.237655500000983
2,6,-5549.002520795222,0.988125,-5293.780510021984,0.28136690000246745
2,7,-5112.0,0.98575,-5267.811865733129,0.3273029000047245
2,8,-5326.233007301541,0.983375,-5275.11450842918,0.3727292000039597
2,9,-5381.0,0.981,-5286.87956304816,0.41726980000385083
2,10,-5913.502923824186,0.978625,-5349.541899125763,0.4611519000027329
2,11,-5023.921259760291,0.97625,-5319.94002281981,0.5056056000030367
2,12,-5184.0,0.973875,-5308.6116875848265,0.5528587000007974
2,13,-5679.0,0.9715,-5337.103096232147,0.6078478999988874
2,14,-4987.0,0.969125,-5312.0957322155655,0.6541406000033021
2,15,-4965.0475730567205,0.96675,-5288.959188271643,0.7001693999991403
2,16,-5191.0,0.964375,-5282.836739004665,0.7440971000032732
2,17,-4980.555559776447,0.962,-5265.055493167711,0.7892503000039142
2,18,-5813.194266877768,0.959625,-5295.507647262714,0.8331317999982275
2,19,-5241.812366692682,0.95725,-5292.681579864291,0.881190100000822
2,20,-5168.0,0.954875,-5286.447500871077,0.9256030000033206
2,21,-5514.744525481367,0.9525,-5297.318787757281,0.969576399998914
2,22,-5381.787139429446,0.950125,-5301.158258287834,1.021823900002346
2,23,-5489.85277242248,0.94775,-5309.362367598036,1.0674213000020245
2,24,-5305.291634112396,0.945375,-5309.192753702801,1.129521399998339
2,25,-5279.8,0.9430000000000001,-5308.017043554689,1.189161200003582
2,26,-5653.505660234602,0.940625,-5321.305067273147,1.2493249000035576
2,27,-5358.098606492868,0.93825,-5322.667790947951,1.3076211000006879
2,28,-5651.0,0.935875,-5334.393941271238,1.368395800003782
2,29,-5534.0,0.9335,-5341.276908813609,1.414875900001789
2,30,-4933.9268292326,0.931125,-5327.698572827576,1.4617757000014535
2,31,-5318.186926352274,0.92875,-5327.391745521921,1.5100163000024622
2,32,-5855.609707539538,0.926375,-5343.898556834973,1.5550003000025754
2,33,-5519.8,0.924,-5349.228903597549,1.5987778999988222
2,34,-5569.0,0.921625,-5355.692759374091,1.7605439000035403
2,35,-5797.712068744583,0.91925,-5368.321882498963,1.9284821000037482
2,36,-5435.499999864662,0.916875,-5370.187941314677,2.0958694000000833
2,37,-4973.0,0.9145,-5359.453132089956,2.270351200000732
2,38,-4806.6,0.912125,-5344.90436545601,2.442434900003718
2,39,-4817.459016260927,0.9097500000000001,-5331.380125733059,2.6038950000001932
2,40,-5689.838036969081,0.907375,-5340.341573513959,2.760838000001968
2,41,-5347.713358141622,0.905,-5340.521373139024,2.9227919000040856
2,42,-4540.0,0.902625,-5321.4613404452375,3.0895262000049115
2,43,-5391.999999913289,0.90025,-5323.101774386356,3.2612383000014233
2,44,-4541.687499789759,0.897875,-5305.3423590546145,3.435121300004539
2,45,-5765.0,0.8955,-5315.556973297846,3.603211599998758
2,46,-4879.14566896116,0.893125,-5306.069771029657,3.777158700002474
2,47,-5241.0,0.89075,-5304.685307816259,3.9510205000042333
2,48,-4942.0267852927755,0.888375,-5297.129921930354,4.114697800003341
2,49,-6060.0,0.886,-5312.6986990338155,4.287151100004849
2,50,-4986.0,0.883625,-5306.16472505314,4.460264200002712
2,51,-5461.0,0.88125,-5312.854725055842,4.622309800004587
2,52,-5013.3421052121885,0.878875,-5316.741567160087,4.795830399998522
2,53,-4842.999999763105,0.8765000000000001,-5297.741567155347,4.968753500004823
2,54,-5997.624021529063,0.874125,-5313.025472247848,5.140266300004441
2,55,-5842.378552441645,0.87175,-5325.038007845325,5.312642199998663
2,56,-5238.493023106977,0.869375,-5318.827817891562,5.484411099998397
2,57,-5158.874764401538,0.867,-5319.765313179592,5.657612100003462
2,58,-5271.0,0.864625,-5318.66065303356,5.830519100003585
2,59,-5650.499999954545,0.86225,-5324.050653032651,6.003211600000213
2,60,-6136.0,0.859875,-5328.500594556168,6.173448499997903
2,61,-4835.91525414187,0.8575,-5324.740474443799,6.347289000004821
2,62,-5487.468354310098,0.855125,-5330.809841530002,6.493643900001189
2,63,-5305.593533005143,0.85275,-5323.341712190105,6.665727200001129
2,64,-4505.0,0.850375,-5313.701712190104,6.838853900000686
2,65,-5450.603175076529,0.848,-5323.4128242305005,7.008279499998025
2,66,-5537.692249677177,0.8456250000000001,-5330.3466692240445,7.179683000002115
2,67,-5215.2333331792015,0.84325,-5335.0402246920985,7.339321799998288
2,68,-4565.499999796274,0.840875,-5310.08633935047,7.483305900001142
2,69,-5089.0,0.8385,-5307.0300920166155,7.646669000001566
2,70,-6084.215247949618,0.836125,-5325.354396975608,7.819723699998576
